bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b1888	cheA	EcoCyc	medium	high	"pathways"" field might be useful in ecocyc
b4559	ghoT	EcoGene	medium	high	
b4665	ibsC	EcoGene	medium	low	
b4665	ibsC	EcoCyc	medium	low	
b4687	shoB	EcoGene	medium	low	
b4687	shoB	EcoCyc	medium	low	
b0461	tomB	EcoGene	medium	high	
b0461	tomB	EcoCyc	medium	low	
b4664	ibsD	EcoGene	medium	low	
b4667	ibsA	EcoGene	medium	low	
b4667	ibsA	EcoCyc	medium	low	
b4666	ibsE	EcoGene	medium	low	
b4666	ibsE	EcoCyc	medium	low	
b4668	ibsB	EcoGene	medium	low	
b0881	clpS	EcoGene	medium	high	
b2592	clpB	EcoGene	medium	high	
b1844	exoX	EcoCyc	medium	high	
b3123	rnpB	EcoGene	medium	high	
b1266	yciV	EcoGene	medium	low	
b4407	thiS	EcoGene	medium	high	
b3470	tusA	EcoCyc	medium	high	
b0782	moaB	EcoCyc	medium	low	
b0783	moaC	EcoCyc	medium	high	
b3742	mioC	EcoCyc	medium	low	
b3856	mobB	EcoCyc	medium	high	
b3459	panM	EcoGene	medium	high	
b4246	pyrL	EcoGene	medium	high	
b4246	pyrL	EcoCyc	medium	high	
b2598	pheL	EcoGene	medium	high	
b2598	pheL	EcoCyc	medium	high	
b2018	hisL	EcoGene	medium	high	
b2018	hisL	EcoCyc	medium	high	
b0075	leuL	EcoGene	medium	high	
b0075	leuL	EcoCyc	medium	high	
b1265	trpL	EcoGene	medium	high	
b1265	trpL	EcoCyc	medium	high	
b3672	ivbL	EcoGene	medium	high	
b3672	ivbL	EcoCyc	medium	high	
b3766	ilvL	EcoGene	medium	high	
b3766	ilvL	EcoCyc	medium	high	
b1007	rutF	EcoCyc	medium	high	
b2529	iscU	EcoGene	medium	high	
b2522	sseB	EcoCyc	medium	low	
b2811	csdE	EcoGene	medium	high	
b2811	csdE	EcoCyc	medium	high	
b4309	nanS	EcoCyc	medium	low	description has ""probable""...this should've been filtered out
b2788	gudX	EcoCyc	medium	low	
b1391	paaD	EcoCyc	medium	low	
b3707	tnaC	EcoCyc	medium	high	
b3394	hofN	EcoCyc	medium	low	
b3393	hofO	EcoGene	medium	low	
b3393	hofO	EcoCyc	medium	low	
b3413	gntX	EcoGene	medium	low	
b3413	gntX	EcoCyc	medium	low	
b3392	hofP	EcoGene	medium	low	
b3392	hofP	EcoCyc	medium	low	
b3395	hofM	EcoCyc	medium	low	
b2895	fldB	EcoCyc	medium	low	
b1591	dmsD	EcoGene	medium	high	
b1591	dmsD	EcoCyc	medium	high	
b2528	iscA	EcoGene	medium	high	
b2528	iscA	EcoCyc	medium	high	
b2527	hscB	EcoGene	medium	high	
b3414	nfuA	EcoCyc	medium	high	
b1683	sufB	EcoGene	medium	high	
b1682	sufC	EcoGene	medium	high	
b1684	sufA	EcoGene	medium	high	
b1684	sufA	EcoCyc	medium	high	
b1681	sufD	EcoGene	medium	high	
b3807	cyaY	EcoGene	medium	high	
b3807	cyaY	EcoCyc	medium	low	""function still not understood"
b2214	ftp	EcoCyc	medium	high	
b2042	galF	EcoCyc	medium	high	
b4331	kptA	EcoCyc	medium	low	not likely to have physiological relevance
b0035	caiE	EcoGene	medium	high	
b0239	frsA	EcoCyc	medium	high	
b2718	hycH	EcoCyc	medium	high	
b2579	grcA	EcoGene	medium	high	
b3891	fdhE	EcoCyc	medium	high	
b2990	hybG	EcoCyc	medium	high	
b0977	hyaF	EcoCyc	medium	low	
b0976	hyaE	EcoCyc	medium	low	
b2728	hypC	EcoCyc	medium	high	
b0975	hyaD	EcoCyc	medium	high	
b2991	hybF	EcoCyc	medium	high	
b2726	hypA	EcoCyc	medium	high	
b2208	napF	EcoCyc	medium	low	
b3951	pflD	EcoCyc	medium	low	
b0156	erpA	EcoGene	medium	high	
b0156	erpA	EcoCyc	medium	high	
b1654	grxD	EcoGene	medium	high	
b1654	grxD	EcoCyc	medium	high	
b2582	trxC	EcoGene	medium	high	
b4075	nrfF	EcoCyc	medium	high	
b4076	nrfG	EcoCyc	medium	high	
b2197	ccmE	EcoGene	medium	high	
b1097	yceG	EcoGene	medium	low	
b1043	csgC	EcoGene	medium	low	
b1043	csgC	EcoCyc	medium	low	
b1279	yciS	EcoGene	medium	low	
b1279	lapA	EcoCyc	medium	low	
b1280	lapB	EcoCyc	medium	low	
b0054	lptD	EcoGene	medium	high	
b1048	opgG	EcoCyc	medium	low	
b1090	plsX	EcoCyc	medium	low	
b2045	wcaK	EcoGene	medium	low	
b2043	wcaM	EcoGene	medium	low	
b3049	glgS	EcoGene	medium	high	
b3049	glgS	EcoCyc	medium	high	
b3250	mreC	EcoCyc	medium	low	
b4027	yjbF	EcoGene	medium	low	
b4029	yjbH	EcoGene	medium	low	
b1501	ydeP	EcoCyc	medium	low	
b1461	pptA	EcoCyc	medium	low	
b0581	ybdK	EcoCyc	medium	high	
b3351	kefG	EcoGene	medium	high	
b3351	kefG	EcoCyc	medium	low	
b2670	alaE	EcoGene	medium	high	
