bnum	gene_name	knowledgebase	ann_quality	new_ann_quality
b0970	yccA	BOTH	tbd	low
b1469	narU	BOTH	tbd	high
b3543	dppB	BOTH	tbd	high
b1514	lsrC	BOTH	tbd	high
b0353	mhpT	BOTH	tbd	high
b2035	wbbH	BOTH	tbd	low
b0968	yccX	BOTH	tbd	low
b4704	arrS	BOTH	tbd	high
b0633	rlpA	BOTH	tbd	low
b0736	ybgC	BOTH	tbd	low
b3379	php	BOTH	tbd	low
b3425	glpE	BOTH	tbd	high
b1463	nhoA	BOTH	tbd	high
b0410	yajD	BOTH	tbd	low
b0488	ybbJ	BOTH	tbd	low
b4473	smf	BOTH	tbd	low
b3180	yhbY	BOTH	tbd	low
b2777	queE	BOTH	tbd	low
b1780	yeaD	BOTH	tbd	low
b1034	ycdX	BOTH	tbd	low
b0601	ybdM	BOTH	tbd	low
b4056	yjbQ	BOTH	tbd	low
b0710	ybgI	BOTH	tbd	low
b2256	arnD	BOTH	tbd	low
b2072	yegK	BOTH	tbd	low
b4613	dinQ	BOTH	tbd	high
b1165	ymgA	BOTH	tbd	low
b4249	bdcA	BOTH	tbd	high
b4263	yjgR	BOTH	tbd	low
b3446	yrhB	BOTH	tbd	high
b3209	elbB	BOTH	tbd	low
b1164	ycgZ	BOTH	tbd	low
b1327	ycjY	BOTH	tbd	low
b2099	yegU	BOTH	tbd	low
b2971	yghG	BOTH	tbd	low
b3039	ygiD	BOTH	tbd	low
b2535	csiE	BOTH	tbd	low
b2844	yqeF	BOTH	tbd	low
b2659	csiD	BOTH	tbd	low
b1420	mokB	BOTH	tbd	high
b2790	yqcA	BOTH	tbd	low
b4713	agrB	BOTH	tbd	high
b0240	crl	BOTH	tbd	high
b2715	ascF	BOTH	tbd	high
b3328	gspG	BOTH	tbd	high
b3139	agaC	BOTH	tbd	low
b0959	sxy	BOTH	tbd	high
b0108	ppdD	BOTH	tbd	low
b3856	mobB	BOTH	tbd	high
b0075	leuL	BOTH	tbd	high
b2811	csdE	BOTH	tbd	high
b0550	rusA	BOTH	tbd	high
b0814	ompX	BOTH	tbd	low
b2351	yfdH	BOTH	tbd	high
b2107	rcnB	BOTH	tbd	low
b3229	sspA	BOTH	tbd	high
b1731	cedA	BOTH	tbd	high
b0610	rnk	BOTH	tbd	high
b1139	lit	BOTH	tbd	high
b0545	ybcL	BOTH	tbd	low
b0958	sulA	BOTH	tbd	low
b4422	rdlB	BOTH	tbd	high
b4420	rdlA	BOTH	tbd	high
b4413	sokC	BOTH	tbd	high
b4662	sgrT	BOTH	tbd	high
b4637	uof	BOTH	tbd	low
b3252	csrD	BOTH	tbd	low
b4616	istR-2	BOTH	tbd	high
b1625	cnu	BOTH	tbd	high
b4140	fxsA	BOTH	tbd	low
b4074	nrfE	BOTH	tbd	high
b0587	fepE	BOTH	tbd	high
