locus_id	primary_name	yome
b0551	ybcQ, quuD	yes
b0552	insH-2, insH2, insH1	no
b0553	nmpC, nmpC'	excluded
b0554	essD	yes
b0555	rrrD	no
b0556	rzpD	yes
b0557	borD	yes
b0558	ybcV	yes
b0559	ybcW	yes
b0560	nohD	yes
b0561	tfaD, tfaD'	excluded
b0562	ybcY, ybcY'	excluded
b0563	tfaX, tfaX'	excluded
b0564	appY	no
b0565	ompT	no
b0566	envY	no
b0567	ybcH	yes
b0568	nfrA	yes
b0569	nfrB	yes
b0570	cusS	no
b0571	cusR	no
b0572	cusC	no
b0573	cusF	no
b0574	cusB	no
b0575	cusA	no
b0576	pheP	no
b0577	ybdG	no
b0578	nfsB	no
b0579	ybdF	yes
b0580	ybdJ	yes
b0581	ybdK	no
b0582	insL-2, insL2, insL1	no
b0583	entD	no
b0584	fepA	no
b0585	fes	no
b0586	entF	no
b0587	fepE	yes
b0588	fepC	no
b0589	fepG	no
b0590	fepD	no
b0591	entS	no
b0592	fepB	no
b0593	entC	no
b0594	entE	no
b0595	entB	no
b0596	entA	no
b0597	entH	no
b0598	cstA	no
b0599	hcxA, ybdH	no
b0600	ybdL	no
b0601	ybdM	yes
b0602	ybdN	yes
b0603	ybdO	yes
b0604	dsbG	no
b0605	ahpC	no
b0606	ahpF	no
b0607	uspG	no
b0608	ybdR	yes
b0609		excluded
b0610	rnk	no
b0611	rna	no
b0612	citT	no
b0613	citG	no
b0614	citX	no
b0615	citF	no
b0616	citE	no
b0617	citD	no
b0618	citC	no
b0619	dpiB, citA	no
b0620	dpiA, citB	no
b0621	dcuC	no
b0622	pagP	no
b0623	cspE	no
b0624	crcB, flc	no
b0627	tatE	no
b0628	lipA	no
b0629	ybeF	yes
b0630	lipB	no
b0631	ybeD	yes
b0632	dacA	no
b0633	rlpA	no
b0634	mrdB	no
b0635	mrdA	no
b0636	rlmH	no
b0637	rsfS	no
b0638	cobC	yes
b0639	nadD	no
b0640	holA	no
b0641	lptE	no
b0642	leuS	no
b0643	ybeL	yes
b0644	ybeQ	yes
b0645	ybeR	yes
b0646	djlB	yes
b0647	ybeT	yes
b0648	ybeU	yes
b0649	djlC	yes
b0650	hscC	yes
b0651	rihA	no
b0652	gltL	no
b0653	gltK	no
b0654	gltJ	no
b0655	gltI	no
b0656	insH-3, insH4, insH3, insH1	no
b0657	lnt	no
b0658	ybeX, corC	yes
b0659	ybeY	no
b0660	ybeZ	yes
b0661	miaB	no
b0662	ubiF	no
b0664	glnX	no
b0665	glnV	no
b0666	metU	no
b0668	glnW	no
b0670	glnU	no
b0672	leuW	no
b0673	metT	no
b0674	asnB	no
b0675	umpH, nagD	no
b0676	nagC	no
b0677	nagA	no
b0678	nagB	no
b0679	nagE	no
b0680	glnS	no
b0681	chiP	no
b0682	chiQ	yes
b0683	fur	no
b0684	fldA	no
b0685	ybfE	yes
b0686	ybfF	no
b0687	seqA	no
b0688	pgm	no
b0689	ybfP	yes
b0691	ybfG, ybfG'	excluded
b0692	potE	no
b0693	speF	no
b0694	kdpE	no
b0695	kdpD	no
b0696	kdpC	no
b0697	kdpB	no
b0698	kdpA	no
b0699	ybfA	yes
b0700	rhsC	yes
b0701		excluded
b0702	ybfB	yes
b0703	ybfO, rhsO', rhsO	excluded
b0704	ybfC	yes
b0705	ybfL, ybfL'	excluded
b0706	ybfD	yes
b0707	ybgA	yes
b0708	phr, phrB	no
b0709	dtpD	no
b0710	ybgI	no
b0711	pxpB, ybgJ	yes
b0712	pxpC, ybgK	yes
b0713	pxpA, ybgL	yes
b0714	nei	no
b0715	abrB	yes
b0716	ybgO	yes
b0717	ybgP	yes
b0718	ybgQ	yes
b0719	ybgD	yes
b0720	gltA	no
b0721	sdhC	no
b0722	sdhD	no
b0723	sdhA	no
b0724	sdhB	no
b0725		excluded
b0726	sucA	no
b0727	sucB	no
b0728	sucC	no
b0729	sucD	no
b0730	mngR	no
b0731	mngA	no
b0732	mngB	no
b0733	cydA	no
b0734	cydB	no
b0735	ybgE	yes
b0736	ybgC	no
b0737	tolQ	no
b0738	tolR	no
b0739	tolA	no
b0740	tolB	no
b0741	pal	no
b0742	cpoB, ybgF	no
b0743	lysT	no
b0744	valT	no
b0745	lysW	no
b0746	valZ	no
b0747	lysY	no
b0748	lysZ	no
b0749	lysQ	no
b0750	nadA	no
b0751	pnuC	no
b0752	zitB	no
b0753	ybgS	yes
b0754	aroG	no
b0755	gpmA	no
b0756	galM	no
b0757	galK	no
b0758	galT	no
b0759	galE	no
b0760	modF	yes
b0761	modE	no
b0762	acrZ	no
b0763	modA	no
b0764	modB	no
b0765	modC	no
b0766	ybhA	no
b0767	pgl	no
b0768	ybhD	yes
b0769	ybhH	yes
b0770	ybhI	yes
b0771	ybhJ	yes
b0772	ybhC	yes
b0773	ybhB	yes
b0774	bioA	no
b0775	bioB	no
b0776	bioF	no
b0777	bioC	no
b0778	bioD, bioD1	no
b0779	uvrB	no
b0780	ybhK	yes
b0781	moaA	no
b0782	moaB	no
b0783	moaC	no
b0784	moaD	no
b0785	moaE	no
b0786	ybhL	yes
b0787	ybhM	yes
b0788	ybhN	yes
b0789	clsB	no
b0790	ybhP	yes
b0791	ybhQ	yes
b0792	ybhR	no
b0793	ybhS	no
b0794	ybhF	no
b0795	ybhG	yes
b0796	cecR, ybiH	no
b0797	rhlE	no
b0798	ybiA	yes
b0799	dinG	no
b0800	ybiB	yes
b0801	hcxB, ybiC	no
b0802	ybiJ	yes
b0803	ybiI	yes
b0804	ybiX	yes
b0805	fiu	no
b0806	mcbA	yes
b0807	rlmF	no
b0808	ybiO	no
b0809	glnQ	no
b0810	glnP	no
b0811	glnH	no
b0812	dps	no
b0813	rhtA	no
b0814	ompX	yes
b0815	opgE	no
b0816	yliL	excluded
b0817	mntR	no
b0818	ybiR	yes
b0819	ldtB, ybiS	no
b0820	ybiT	yes
b0821	ybiU	yes
