Gene	Module	kME
b0582	UNCLASSIFIED	NA
b0583	P1_I7_M6	0.81
b0584	P1_I7_M6	0.94
b0585	P1_I7_M6	0.98
b0586	P1_I7_M6	0.96
b0587	UNCLASSIFIED	NA
b0588	P1_I7_M6	0.97
b0589	P1_I7_M6	0.91
b0590	P1_I7_M6	0.93
b0591	P1_I7_M6	0.95
b0592	P1_I7_M6	0.97
b0593	P1_I7_M6	0.98
b0594	P1_I7_M6	0.98
b0595	P1_I7_M6	0.96
b0596	P1_I7_M6	0.95
b0597	P1_I7_M6	0.93
b0598	P8_I2_M2	0.94
b0599	P2_I5_M15	0.94
b0600	P2_I5_M15	0.96
b0601	UNCLASSIFIED	NA
b0602	UNCLASSIFIED	NA
b0603	UNCLASSIFIED	NA
b0604	UNCLASSIFIED	NA
b0605	UNCLASSIFIED	NA
b0606	UNCLASSIFIED	NA
b0607	UNCLASSIFIED	NA
b0608	P1_I7_M1	0.86
b0610	UNCLASSIFIED	NA
b0611	UNCLASSIFIED	NA
b0612	UNCLASSIFIED	NA
b0613	UNCLASSIFIED	NA
b0614	UNCLASSIFIED	NA
b0615	UNCLASSIFIED	NA
b0616	UNCLASSIFIED	NA
b0617	UNCLASSIFIED	NA
b0618	UNCLASSIFIED	NA
b0619	UNCLASSIFIED	NA
b0620	UNCLASSIFIED	NA
b0621	P1_I7_M2	0.98
b0622	UNCLASSIFIED	NA
b0623	P1_I7_M3	0.89
b0624	UNCLASSIFIED	NA
b0627	P1_I7_M3	0.92
b0628	UNCLASSIFIED	NA
b0629	UNCLASSIFIED	NA
b0630	UNCLASSIFIED	NA
b0631	UNCLASSIFIED	NA
b0632	P1_I7_M9	0.9
b0633	UNCLASSIFIED	NA
b0634	UNCLASSIFIED	NA
b0635	P2_I5_M6	0.9
b0636	P2_I5_M6	0.84
b0637	P2_I5_M2	0.82
b0638	UNCLASSIFIED	NA
b0639	P3_I4_M9	0.86
b0640	P3_I4_M9	0.88
b0641	UNCLASSIFIED	NA
b0642	UNCLASSIFIED	NA
b0643	P1_I7_M1	0.88
b0644	UNCLASSIFIED	NA
b0645	UNCLASSIFIED	NA
b0646	UNCLASSIFIED	NA
b0647	UNCLASSIFIED	NA
b0648	UNCLASSIFIED	NA
b0649	UNCLASSIFIED	NA
b0650	UNCLASSIFIED	NA
b0651	P1_I7_M5	0.92
b0652	UNCLASSIFIED	NA
b0653	UNCLASSIFIED	NA
b0654	UNCLASSIFIED	NA
b0655	UNCLASSIFIED	NA
b0656	P6_I3_M1	0.93
b0657	P2_I5_M6	0.87
b0658	UNCLASSIFIED	NA
b0659	UNCLASSIFIED	NA
b0660	P2_I5_M1	0.81
b0661	P1_I7_M9	0.81
b0662	P2_I5_M1	0.89
b0674	UNCLASSIFIED	NA
b0675	UNCLASSIFIED	NA
b0676	UNCLASSIFIED	NA
b0677	P8_I2_M1	0.88
b0678	UNCLASSIFIED	NA
b0679	UNCLASSIFIED	NA
b0680	UNCLASSIFIED	NA
b0681	P1_I7_M5	0.88
b0682	UNCLASSIFIED	NA
b0683	UNCLASSIFIED	NA
b0684	UNCLASSIFIED	NA
b0685	UNCLASSIFIED	NA
b0686	UNCLASSIFIED	NA
b0687	UNCLASSIFIED	NA
b0688	UNCLASSIFIED	NA
b0689	UNCLASSIFIED	NA
b0691	UNCLASSIFIED	NA
b0692	UNCLASSIFIED	NA
b0693	UNCLASSIFIED	NA
b0694	UNCLASSIFIED	NA
b0695	UNCLASSIFIED	NA
b0696	UNCLASSIFIED	NA
b0697	UNCLASSIFIED	NA
b0698	UNCLASSIFIED	NA
b0699	P6_I3_M2	0.87
b0700	UNCLASSIFIED	NA
b0702	UNCLASSIFIED	NA
b0703	UNCLASSIFIED	NA
b0704	UNCLASSIFIED	NA
b0705	UNCLASSIFIED	NA
b0706	UNCLASSIFIED	NA
b0707	P2_I5_M5	0.83
b0708	P3_I4_M2	0.88
b0709	UNCLASSIFIED	NA
b0710	P2_I5_M1	0.87
b0711	P2_I5_M1	0.87
b0712	P2_I5_M1	0.86
b0713	UNCLASSIFIED	NA
b0714	UNCLASSIFIED	NA
b0715	P1_I7_M2	0.86
b0716	UNCLASSIFIED	NA
b0717	UNCLASSIFIED	NA
b0718	UNCLASSIFIED	NA
b0719	UNCLASSIFIED	NA
b0720	P1_I7_M7	0.89
b0721	P1_I7_M7	0.85
b0722	UNCLASSIFIED	NA
b0723	P1_I7_M7	0.9
b0724	P1_I7_M7	0.85
b0726	P1_I7_M7	0.92
b0727	P1_I7_M7	0.89
b0728	P1_I7_M7	0.92
b0729	P1_I7_M7	0.89
b0730	UNCLASSIFIED	NA
b0731	UNCLASSIFIED	NA
b0732	UNCLASSIFIED	NA
b0733	P1_I7_M2	0.85
b0734	P1_I7_M2	0.8
b0735	P5_I3_M4	0.83
b0736	UNCLASSIFIED	NA
b0737	P3_I4_M3	0.84
b0738	UNCLASSIFIED	NA
b0739	UNCLASSIFIED	NA
b0740	UNCLASSIFIED	NA
b0741	UNCLASSIFIED	NA
b0742	UNCLASSIFIED	NA
b0750	P1_I7_M10	0.85
b0751	UNCLASSIFIED	NA
b0752	UNCLASSIFIED	NA
b0753	P1_I7_M1	0.93
b0754	UNCLASSIFIED	NA
b0755	UNCLASSIFIED	NA
b0756	UNCLASSIFIED	NA
b0757	UNCLASSIFIED	NA
b0758	UNCLASSIFIED	NA
b0759	UNCLASSIFIED	NA
b0760	UNCLASSIFIED	NA
b0761	UNCLASSIFIED	NA
b0762	P1_I7_M3	0.86
b0763	UNCLASSIFIED	NA
b0764	UNCLASSIFIED	NA
b0765	UNCLASSIFIED	NA
b0766	UNCLASSIFIED	NA
b0767	P1_I7_M1	0.88
b0768	UNCLASSIFIED	NA
b0769	UNCLASSIFIED	NA
b0770	UNCLASSIFIED	NA
b0771	UNCLASSIFIED	NA
b0772	UNCLASSIFIED	NA
b0773	P1_I7_M1	0.88
b0774	UNCLASSIFIED	NA
b0775	UNCLASSIFIED	NA
b0776	UNCLASSIFIED	NA
b0777	UNCLASSIFIED	NA
b0778	UNCLASSIFIED	NA
b0779	P1_I7_M1	0.82
b0780	UNCLASSIFIED	NA
b0781	UNCLASSIFIED	NA
b0782	P7_I4_M3	0.8
b0783	UNCLASSIFIED	NA
b0784	UNCLASSIFIED	NA
b0785	UNCLASSIFIED	NA
b0786	P3_I4_M5	0.9
b0787	UNCLASSIFIED	NA
b0788	P1_I7_M1	0.92
b0789	P1_I7_M1	0.95
b0790	P1_I7_M1	0.95
b0791	P1_I7_M8	0.82
b0792	P3_I4_M2	0.86
b0793	UNCLASSIFIED	NA
b0794	UNCLASSIFIED	NA
b0795	UNCLASSIFIED	NA
b0796	UNCLASSIFIED	NA
b0797	UNCLASSIFIED	NA
b0798	UNCLASSIFIED	NA
b0799	UNCLASSIFIED	NA
b0800	P2_I5_M1	0.89
b0801	UNCLASSIFIED	NA
b0802	UNCLASSIFIED	NA
b0803	UNCLASSIFIED	NA
b0804	P1_I7_M6	0.89
b0805	P1_I7_M6	0.93
b0806	UNCLASSIFIED	NA
b0807	P3_I4_M3	0.84
b0808	P1_I7_M1	0.97
b0809	UNCLASSIFIED	NA
b0810	UNCLASSIFIED	NA
b0811	UNCLASSIFIED	NA
b0812	P1_I7_M1	0.96
b0813	UNCLASSIFIED	NA
