bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b4687	shoB	EcoGene	medium	low	
b0461	tomB	EcoGene	medium	high	
b4664	ibsD	EcoGene	medium	low	
b4667	ibsA	EcoGene	medium	low	
b4666	ibsE	EcoGene	medium	low	
b4668	ibsB	EcoGene	medium	low	
b0881	clpS	EcoGene	medium	high	
b2592	clpB	EcoGene	medium	high	
b3123	rnpB	EcoGene	medium	high	
b1266	yciV	EcoGene	medium	low	
b4407	thiS	EcoGene	medium	high	
b3459	panM	EcoGene	medium	high	
b4246	pyrL	EcoGene	medium	high	
b2598	pheL	EcoGene	medium	high	
b2018	hisL	EcoGene	medium	high	
b0075	leuL	EcoGene	medium	high	
b1265	trpL	EcoGene	medium	high	
b3672	ivbL	EcoGene	medium	high	
b3766	ilvL	EcoGene	medium	high	
b2529	iscU	EcoGene	medium	high	
b2811	csdE	EcoGene	medium	high	
b3393	hofO	EcoGene	medium	low	
b3413	gntX	EcoGene	medium	low	
b3392	hofP	EcoGene	medium	low	
b1591	dmsD	EcoGene	medium	high	
b2528	iscA	EcoGene	medium	high	
b2527	hscB	EcoGene	medium	high	
b1683	sufB	EcoGene	medium	high	
b1682	sufC	EcoGene	medium	high	
b1684	sufA	EcoGene	medium	high	
b1681	sufD	EcoGene	medium	high	
b3807	cyaY	EcoGene	medium	high	
b0558	ybcV	EcoGene	medium	low	
b1550	gnsB	EcoGene	medium	high	
b1553	rzpQ	EcoGene	medium	low	
b1562	hokD	EcoGene	medium	low	
b1353	sieB	EcoGene	medium	low	
b1558	cspF	EcoGene	medium	low	
b1355	ydaG	EcoGene	medium	low	
b1145	cohE	EcoGene	medium	low	
b1549	ydfO	EcoGene	medium	low	
b1552	cspI	EcoGene	medium	low	
b1555	ydfR	EcoGene	medium	low	
b1557	cspB	EcoGene	medium	low	
b0549	ybcO	EcoGene	medium	low	
b1560	ydfU	EcoGene	medium	low	
b2082	ogrK	EcoGene	medium	high	
b3717	cbrC	EcoGene	medium	low	
b0740	tolB	EcoGene	medium	high	
b1306	pspC	EcoGene	medium	high	
b2107	rcnB	EcoGene	medium	high	
b2381	ypdB	EcoGene	medium	high	
b0313	betI	EcoGene	medium	high	
b3481	nikR	EcoGene	medium	high	
b4479	dgoR	EcoGene	medium	high	
b3574	yiaJ	EcoGene	medium	high	
b3515	gadW	EcoGene	medium	high	
b0413	nrdR	EcoGene	medium	high	
b3783	rho	EcoGene	medium	high	
b4191	ulaR	EcoGene	medium	high	
b4178	nsrR	EcoGene	medium	high	
b2105	rcnR	EcoGene	medium	high	
b3963	fabR	EcoGene	medium	high	
b1284	yciT	EcoGene	medium	high	
b1399	paaX	EcoGene	medium	high	
b3912	cpxR	EcoGene	medium	high	
b3292	zntR	EcoGene	medium	high	
b3243	aaeR	EcoGene	medium	high	
b4396	rob	EcoGene	medium	high	
b0076	leuO	EcoGene	medium	high	
b3569	xylR	EcoGene	medium	high	
b4116	adiY	EcoGene	medium	high	
